"","X","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days"
"1",180,"CBG06","Conepatus leuconotus","6/03/2020 23:39","6/03/2020","23:39:24",0,0,0,0
"2",181,"CBG06","Conepatus leuconotus","11/06/2020 20:11","11/06/2020","20:11:13",8364706,139411.8,2323.5,96.8
"3",182,"CBG06","Conepatus leuconotus","6/08/2020 19:33","6/08/2020","19:33:56",4836159,80602.6,1343.4,56
"4",183,"CBG06","Conepatus leuconotus","20/08/2020 3:16","20/08/2020","3:16:49",1150970,19182.8,319.7,13.3
"5",184,"CBG06","Conepatus leuconotus","1/09/2020 3:34","1/09/2020","3:34:03",1037830,17297.2,288.3,12
"6",185,"CBG06","Conepatus leuconotus","11/09/2020 3:05","11/09/2020","3:05:08",862265,14371.1,239.5,10
"7",186,"CBG06","Conepatus leuconotus","15/09/2020 19:37","15/09/2020","19:37:01",405110,6751.8,112.5,4.7
"8",187,"CBG06","Conepatus leuconotus","2/10/2020 22:18","2/10/2020","22:18:46",1478502,24641.7,410.7,17.1
"9",188,"CBG06","Conepatus leuconotus","7/10/2020 21:17","7/10/2020","21:17:03",428295,7138.2,119,5
"10",531,"CBG08","Conepatus leuconotus","18/03/2020 23:46","18/03/2020","23:46:53",0,0,0,0
"11",534,"CBG08","Mephitis macroura","7/03/2020 7:42","7/03/2020","7:42:35",0,0,0,0
"12",561,"CBG09","Conepatus leuconotus","29/05/2020 3:12","29/05/2020","3:12:41",0,0,0,0
"13",923,"CBG12","Conepatus leuconotus","17/04/2020 1:18","17/04/2020","1:18:36",0,0,0,0
"14",924,"CBG12","Conepatus leuconotus","9/05/2020 3:10","9/05/2020","3:10:31",1907510,31791.8,529.9,22.1
"15",925,"CBG12","Conepatus leuconotus","10/05/2020 23:57","10/05/2020","23:57:09",161198,2686.6,44.8,1.9
"16",926,"CBG12","Conepatus leuconotus","18/05/2020 2:22","18/05/2020","2:22:59",613547,10225.8,170.4,7.1
"17",1030,"CBG13","Conepatus leuconotus","25/03/2020 3:10","25/03/2020","3:10:23",0,0,0,0
"18",1172,"CBG14","Conepatus leuconotus","5/04/2020 23:13","5/04/2020","23:13:34",0,0,0,0
"19",1173,"CBG14","Conepatus leuconotus","27/04/2020 1:13","27/04/2020","1:13:01",1821565,30359.4,506,21.1
"20",1174,"CBG14","Conepatus leuconotus","19/06/2020 23:46","19/06/2020","23:46:22",4660399,77673.3,1294.6,53.9
"21",1175,"CBG14","Conepatus leuconotus","25/07/2020 23:49","25/07/2020","23:49:42",3110598,51843.3,864.1,36
"22",1176,"CBG14","Conepatus leuconotus","28/08/2020 1:10","28/08/2020","1:10:56",2856071,47601.2,793.4,33.1
"23",1177,"CBG14","Conepatus leuconotus","19/09/2020 20:07","19/09/2020","20:07:21",1968983,32816.4,546.9,22.8
"24",1183,"CBG14","Mephitis macroura","23/03/2020 6:03","23/03/2020","6:03:13",0,0,0,0
"25",1184,"CBG14","Mephitis macroura","28/03/2020 1:13","28/03/2020","1:13:12",414597,6910,115.2,4.8
"26",1185,"CBG14","Mephitis macroura","7/05/2020 21:19","7/05/2020","21:19:16",3524762,58746,979.1,40.8
"27",1186,"CBG14","Mephitis macroura","19/08/2020 1:01","19/08/2020","1:01:29",8912533,148542.2,2475.7,103.2
"28",1278,"CBG16","Conepatus leuconotus","31/07/2020 5:40","31/07/2020","5:40:46",0,0,0,0
"29",1279,"CBG16","Conepatus leuconotus","10/08/2020 5:12","10/08/2020","5:12:39",862313,14371.9,239.5,10
"30",1280,"CBG16","Conepatus leuconotus","19/09/2020 21:05","19/09/2020","21:05:05",3513143,58552.4,975.9,40.7
"31",1493,"CBG18","Conepatus leuconotus","30/08/2020 19:40","30/08/2020","19:40:41",0,0,0,0
"32",1605,"CBG19","Conepatus leuconotus","22/03/2020 23:49","22/03/2020","23:49:35",0,0,0,0
"33",1606,"CBG19","Conepatus leuconotus","4/08/2020 2:34","4/08/2020","2:34:52",11583914,193065.2,3217.8,134.1
"34",1615,"CBG19","Mephitis macroura","29/02/2020 4:45","29/02/2020","4:45:06",0,0,0,0
"35",1616,"CBG19","Mephitis macroura","30/05/2020 3:22","30/05/2020","3:22:41",7853852,130897.5,2181.6,90.9
"36",1617,"CBG19","Mephitis macroura","16/06/2020 3:08","16/06/2020","3:08:03",1467922,24465.4,407.8,17
"37",1618,"CBG19","Mephitis macroura","28/06/2020 3:06","28/06/2020","3:06:01",1036678,17278,288,12
"38",1619,"CBG19","Mephitis macroura","19/07/2020 4:38","19/07/2020","4:38:37",1819956,30332.6,505.5,21.1
"39",1620,"CBG19","Mephitis macroura","28/07/2020 2:13","28/07/2020","2:13:05",768865,12814.4,213.6,8.9
"40",1621,"CBG19","Mephitis macroura","13/08/2020 20:32","13/08/2020","20:32:33",1448368,24139.5,402.3,16.8
"41",1622,"CBG19","Mephitis macroura","17/08/2020 23:02","17/08/2020","23:02:52",354616,5910.3,98.5,4.1
"42",1623,"CBG19","Mephitis macroura","21/08/2020 4:47","21/08/2020","4:47:05",279853,4664.2,77.7,3.2
"43",1624,"CBG19","Mephitis macroura","24/08/2020 5:09","24/08/2020","5:09:41",260553,4342.6,72.4,3
"44",1625,"CBG19","Mephitis macroura","24/08/2020 20:11","24/08/2020","20:11:50",54126,902.1,15,0.6
"45",1626,"CBG19","Mephitis macroura","8/09/2020 1:45","8/09/2020","1:45:33",1229623,20493.7,341.6,14.2
"46",1627,"CBG19","Mephitis macroura","20/09/2020 20:33","20/09/2020","20:33:24",1104467,18407.8,306.8,12.8
"47",1880,"CBG21","Conepatus leuconotus","26/04/2020 21:46","26/04/2020","21:46:36",0,0,0,0
"48",1881,"CBG21","Conepatus leuconotus","19/05/2020 20:14","19/05/2020","20:14:36",1981677,33027.9,550.5,22.9
"49",1882,"CBG21","Conepatus leuconotus","30/05/2020 3:54","30/05/2020","3:54:56",891617,14860.3,247.7,10.3
"50",1883,"CBG21","Conepatus leuconotus","3/06/2020 4:06","3/06/2020","4:06:15",346276,5771.3,96.2,4
"51",1884,"CBG21","Conepatus leuconotus","11/06/2020 19:36","11/06/2020","19:36:36",747018,12450.3,207.5,8.6
"52",1885,"CBG21","Conepatus leuconotus","11/07/2020 3:32","11/07/2020","3:32:55",2534176,42236.3,703.9,29.3
"53",1886,"CBG21","Conepatus leuconotus","13/07/2020 22:26","13/07/2020","22:26:01",240782,4013,66.9,2.8
"54",1887,"CBG21","Conepatus leuconotus","15/07/2020 5:12","15/07/2020","5:12:20",110776,1846.3,30.8,1.3
"55",1888,"CBG21","Conepatus leuconotus","7/08/2020 1:14","7/08/2020","1:14:50",1972950,32882.5,548,22.8
"56",1889,"CBG21","Conepatus leuconotus","9/08/2020 20:47","9/08/2020","20:47:33",243160,4052.7,67.5,2.8
"57",1890,"CBG21","Conepatus leuconotus","31/08/2020 22:57","31/08/2020","22:57:46",1908611,31810.2,530.2,22.1
"58",1891,"CBG21","Conepatus leuconotus","10/09/2020 3:41","10/09/2020","3:41:12",794606,13243.4,220.7,9.2
"59",1892,"CBG21","Conepatus leuconotus","15/09/2020 4:40","15/09/2020","4:40:10",435538,7259,121,5
